epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
118,26087.4,1.73552,2.27411,2.0016,0.84331,0.44388,0.57844,0.329,1.51575,1.70538,1.89042,0.000526063,0.000526063,0.000526063
119,26307.5,1.73501,2.22076,1.98804,0.64818,0.48684,0.56452,0.33527,1.55334,1.71486,1.91315,0.000519875,0.000519875,0.000519875
120,26526.9,1.70581,2.2395,1.9588,0.58748,0.52125,0.56773,0.33436,1.5017,1.69557,1.86549,0.000513688,0.000513688,0.000513688
121,26747.5,1.66026,2.24765,1.92827,0.82953,0.49187,0.60549,0.35634,1.52469,1.65516,1.89452,0.0005075,0.0005075,0.0005075
122,26969.2,1.69252,2.15212,1.92668,0.75848,0.49251,0.58328,0.34379,1.52613,1.65568,1.91151,0.000501313,0.000501313,0.000501313
123,27189.1,1.6963,2.24457,1.93365,0.73376,0.55236,0.61867,0.36544,1.50168,1.64581,1.89015,0.000495125,0.000495125,0.000495125
124,27409.3,1.65301,2.09938,1.90645,0.75533,0.53611,0.61072,0.35281,1.53104,1.64248,1.92051,0.000488938,0.000488938,0.000488938
125,27631.1,1.6732,2.19312,1.92026,0.62461,0.52181,0.55929,0.34378,1.52253,1.73848,1.87138,0.00048275,0.00048275,0.00048275
126,27852.1,1.64099,2.12079,1.92156,0.61936,0.53404,0.57657,0.34604,1.52259,1.6155,1.90601,0.000476562,0.000476562,0.000476562
127,28072.3,1.67252,2.23471,1.92574,0.87679,0.44822,0.58664,0.36334,1.52967,1.65513,1.89327,0.000470375,0.000470375,0.000470375
128,28292.9,1.66278,2.1499,1.91935,0.79388,0.48267,0.61234,0.36477,1.51528,1.53253,1.89003,0.000464188,0.000464188,0.000464188
129,28513,1.6729,2.0847,1.94549,0.73737,0.47786,0.5937,0.35172,1.51141,1.57633,1.87372,0.000458,0.000458,0.000458
130,28734,1.69626,2.12956,1.96662,0.63878,0.53821,0.57807,0.34749,1.4802,1.6018,1.8987,0.000451813,0.000451813,0.000451813
131,28955.6,1.65124,2.10217,1.91065,0.80644,0.49356,0.59036,0.35883,1.48477,1.60391,1.89392,0.000445625,0.000445625,0.000445625
132,29176.6,1.6794,2.15345,1.94361,0.57858,0.6182,0.62801,0.36922,1.51291,1.57511,1.88325,0.000439437,0.000439437,0.000439437
133,29396.7,1.66878,2.19466,1.93767,0.85676,0.50635,0.61512,0.37386,1.47028,1.55117,1.87394,0.00043325,0.00043325,0.00043325
134,29618.1,1.61047,2.06556,1.88602,0.849,0.49929,0.61274,0.36418,1.52364,1.55246,1.88508,0.000427062,0.000427062,0.000427062
135,29839.2,1.63128,2.10897,1.91416,0.60477,0.56347,0.60579,0.37102,1.46826,1.59458,1.8637,0.000420875,0.000420875,0.000420875
136,30059.9,1.63876,2.11572,1.90983,0.85171,0.48719,0.60595,0.36031,1.48688,1.63606,1.86526,0.000414688,0.000414688,0.000414688
137,30281,1.6244,2.11969,1.8756,0.67115,0.59032,0.64103,0.37576,1.49425,1.55356,1.87652,0.0004085,0.0004085,0.0004085
138,30501.3,1.64344,2.06115,1.9029,0.76413,0.53327,0.62902,0.37875,1.44936,1.55046,1.85318,0.000402312,0.000402312,0.000402312
139,30722.3,1.56893,2.03799,1.84873,0.63061,0.58056,0.6142,0.36647,1.48196,1.54245,1.85407,0.000396125,0.000396125,0.000396125
140,30943.1,1.65709,2.12825,1.91942,0.76836,0.50806,0.60357,0.36368,1.4896,1.57155,1.88438,0.000389938,0.000389938,0.000389938
141,31164.1,1.65296,2.118,1.9135,0.72697,0.53519,0.61347,0.36655,1.46384,1.53224,1.81961,0.00038375,0.00038375,0.00038375
142,31385.6,1.60945,2.02144,1.89672,0.55221,0.61004,0.61115,0.37386,1.46564,1.54684,1.8399,0.000377563,0.000377563,0.000377563
143,31607,1.57668,2.01716,1.89111,0.68076,0.55993,0.60531,0.36056,1.44453,1.52829,1.84308,0.000371375,0.000371375,0.000371375
144,31828.6,1.59173,2.00066,1.86699,0.59311,0.60097,0.61939,0.3813,1.44444,1.53804,1.84711,0.000365188,0.000365188,0.000365188
145,32049.4,1.60337,1.94022,1.85889,0.703,0.55264,0.63952,0.38356,1.44862,1.51892,1.83777,0.000359,0.000359,0.000359
146,32270.4,1.56682,1.93424,1.84953,0.69449,0.60087,0.63733,0.39015,1.43647,1.53501,1.832,0.000352812,0.000352812,0.000352812
147,32492.4,1.60723,2.06066,1.86681,0.62651,0.63702,0.63378,0.37744,1.47719,1.48255,1.88721,0.000346625,0.000346625,0.000346625
148,32713.1,1.54114,1.88215,1.82303,0.72737,0.63903,0.65264,0.38862,1.47677,1.45833,1.87215,0.000340438,0.000340438,0.000340438
149,32934.8,1.53416,1.93453,1.82791,0.73652,0.57667,0.64333,0.38752,1.41988,1.46566,1.84899,0.00033425,0.00033425,0.00033425
150,33156.1,1.58177,2.04523,1.86295,0.74255,0.59206,0.65399,0.39608,1.47163,1.45062,1.86445,0.000328063,0.000328063,0.000328063
